E66.9;Overweight or obesity
F19.282;Other (or unknown) substance-induced sleep disorder, With moderate or severe use disorder
F19.288;Other (or unknown) substance-induced mild neurocognitive disorder, With moderate or severe use disorder
F19.288;Other (or unknown) substance-induced obsessive-compulsive and related disorder, With moderate or severe use disorder
F19.921;Other (or unknown) substance intoxication delirium, Without use disorder
F19.921;Other (or unknown) substance-induced delirium
F19.929;Other (or unknown) substance intoxication, Without use disorder
F19.94;Other (or unknown) substance-induced bipolar and related disorder, Without use disorder
F19.94;Other (or unknown) substance-induced depressive disorder, Without use disorder
F19.959;Other (or unknown) substance-induced psychotic disorder, Without use disorder
F19.97;Other (or unknown) substance-induced major neurocognitive disorder, Without use disorder
F19.980;Other (or unknown) substance-induced anxiety disorder, Without use disorder
F19.981;Other (or unknown) substance-induced sexual dysfunction, Without use disorder
F19.982;Other (or unknown) substance-induced sleep disorder, Without use disorder
F19.988;Other (or unknown) substance-induced mild neurocognitive disorder, Without use disorder
F19.988;Other (or unknown) substance-induced obsessive-compulsive and related disorder, Without use disorder
F19.99;Unspecified other (or unknown) substance-related disorder
F20.81;Schizophreniform disorder
F20.9;Schizophrenia
F21;Schizotypal personality disorder
F22;Delusional disorder
F23;Brief psychotic disorder
F25.0;Schizoaffective disorder, Bipolar type
F25.1;Schizoaffective disorder, Depressive type
F28;Other specified schizophrenia spectrum and other psychotic disorder
F29;Unspecified schizophrenia spectrum and other psychotic disorder
F31.0;Bipolar I disorder, Current or most recent episode hypomanic
F31.11;Bipolar I disorder, Current or most recent episode manic, Mild
F31.12;Bipolar I disorder, Current or most recent episode manic, Moderate
F31.13;Bipolar I disorder, Current or most recent episode manic, Severe
F31.2;Bipolar I disorder, Current or most recent episode manic, With psychotic features
F31.31;Bipolar I disorder, Current or most recent episode depressed, Mild
F31.32;Bipolar I disorder, Current or most recent episode depressed, Moderate
F31.4;Bipolar I disorder, Current or most recent episode depressed, Severe
F31.5;Bipolar I disorder, Current or most recent episode depressed, With psychotic features
F31.73;Bipolar I disorder, Current or most recent episode hypomanic, In partial remission
F31.73;Bipolar I disorder, Current or most recent episode manic, In partial remission
F31.74;Bipolar I disorder, Current or most recent episode hypomanic, In full remission
F31.74;Bipolar I disorder, Current or most recent episode manic, In full remission
F31.75;Bipolar I disorder, Current or most recent episode depressed, In partial remission
F31.76;Bipolar I disorder, Current or most recent episode depressed, In full remission
F31.81;Bipolar II disorder
F31.89;Other specified bipolar and related disorder
F31.9;Bipolar I disorder, Current or most recent episode depressed, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode hypomanic, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode manic, Unspecified
F31.9;Bipolar I disorder, Current or most recent episode unspecified
F31.9;Unspecified bipolar and related disorder
F32.0;Major depressive disorder, Single episode, Mild
F32.1;Major depressive disorder, Single episode, Moderate
F32.2;Major depressive disorder, Single episode, Severe
F32.3;Major depressive disorder, Single episode, With psychotic features
F32.4;Major depressive disorder, Single episode, In partial remission
F32.5;Major depressive disorder, Single episode, In full remission
F32.8;Other specified depressive disorder
F32.9;Major depressive disorder, Single episode, Unspecified
F32.9;Unspecified depressive disorder
F33.0;Major depressive disorder, Recurrent episode, Mild
F33.1;Major depressive disorder, Recurrent episode, Moderate
F33.2;Major depressive disorder, Recurrent episode, Severe
F33.3;Major depressive disorder, Recurrent episode, With psychotic features
F33.41;Major depressive disorder, Recurrent episode, In partial remission
F33.42;Major depressive disorder, Recurrent episode, In full remission
F33.9;Major depressive disorder, Recurrent episode, Unspecified
F34.0;Cyclothymic disorder
F34.1;Persistent depressive disorder (dysthymia)
F34.8;Disruptive mood dysregulation disorder
F40.00;Agoraphobia
F40.10;Social anxiety disorder (social phobia)
F40.218;Specific phobia, Animal
F40.228;Specific phobia, Natural environment
F40.230;Specific phobia, Fear of blood
F40.231;Specific phobia, Fear of injections and transfusions
F40.232;Specific phobia, Fear of other medical care
F40.233;Specific phobia, Fear of injury
F40.248;Specific phobia, Situational
F40.298;Specific phobia, Other
F41.0;Panic disorder
F41.1;Generalized anxiety disorder
F41.8;Other specified anxiety disorder
F41.9;Unspecified anxiety disorder
F42;Hoarding disorder
F42;Obsessive-compulsive disorder
F42;Other specified obsessive-compulsive and related disorder
F42;Unspecified obsessive-compulsive and related disorder
F43.0;Acute stress disorder
F43.10;Posttraumatic stress disorder
F43.20;Adjustment disorder, Unspecified
F43.21;Adjustment disorder, With depressed mood
F43.22;Adjustment disorder, With anxiety
F43.23;Adjustment disorder, With mixed anxiety and depressed mood
F43.24;Adjustment disorder, With disturbance of conduct
F43.25;Adjustment disorder, With mixed disturbance of emotions and conduct
F43.8;Other specified trauma- and stressor-related disorder
F43.9;Unspecified trauma- and stressor-related disorder
F44.0;Dissociative amnesia
F44.1;Dissociative amnesia, with dissociative fugue
F44.4;Conversion disorder (functional neurological symptom disorder), With abnormal movement
F44.4;Conversion disorder (functional neurological symptom disorder), With speech symptoms
F44.4;Conversion disorder (functional neurological symptom disorder), With swallowing symptoms
F44.4;Conversion disorder (functional neurological symptom disorder), With weakness/paralysis
F44.5;Conversion disorder (functional neurological symptom disorder), With attacks or seizures
F44.6;Conversion disorder (functional neurological symptom disorder), With anesthesia or sensory loss
F44.6;Conversion disorder (functional neurological symptom disorder), With special sensory symptoms
F44.7;Conversion disorder (functional neurological symptom disorder), With mixed symptoms
F44.81;Dissociative identity disorder
F44.89;Other specified dissociative disorder
F44.9;Unspecified dissociative disorder
F45.1;Somatic symptom disorder
F45.21;Illness anxiety disorder
F45.22;Body dysmorphic disorder
F45.8;Other specified somatic symptom and related disorder
F45.9;Unspecified somatic symptom and related disorder
F48.1;Depersonalization/derealization disorder
F50.01;Anorexia nervosa, Restricting type
F50.02;Anorexia nervosa, Binge-eating/purging type
F50.2;Bulimia nervosa
F50.8;Avoidant/restrictive food intake disorder
F50.8;Binge-eating disorder
F50.8;Other specified feeding or eating disorder
F50.8;Pica, In adults
F50.9;Unspecified feeding or eating disorder
F51.3;Non-rapid eye movement sleep arousal disorders, Sleepwalking type
F51.4;Non-rapid eye movement sleep arousal disorders, Sleep terror type
F51.5;Nightmare disorder
F52.0;Male hypoactive sexual desire disorder
F52.21;Erectile disorder
F52.22;Female sexual interest/arousal disorder
F52.31;Female orgasmic disorder
F52.32;Delayed ejaculation
F52.4;Premature (early) ejaculation
F52.6;Genito-pelvic pain/penetration disorder
F52.8;Other specified sexual dysfunction
F52.9;Unspecified sexual dysfunction
F54;Psychological factors affecting other medical conditions
F60.0;Paranoid personality disorder
F60.1;Schizoid personality disorder
F60.2;Antisocial personality disorder
F60.3;Borderline personality disorder
F60.4;Histrionic personality disorder
F60.5;Obsessive-compulsive personality disorder
F60.6;Avoidant personality disorder
F60.7;Dependent personality disorder
F60.81;Narcissistic personality disorder
F60.89;Other specified personality disorder
F60.9;Unspecified personality disorder
F63.0;Gambling disorder
F63.1;Pyromania
F63.2;Kleptomania
F63.3;Trichotillomania (hair-pulling disorder)
F63.81;Intermittent explosive disorder
F64.1;Gender dysphoria in adolescents and adults
F64.2;Gender dysphoria in children
F64.8;Other specified gender dysphoria
F64.9;Unspecified gender dysphoria
F65.0;Fetishistic disorder
F65.1;Transvestic disorder
F65.2;Exhibitionistic disorder
F65.3;Voyeuristic disorder
F65.4;Pedophilic disorder
F65.51;Sexual masochism disorder
F65.52;Sexual sadism disorder
F65.81;Frotteuristic disorder
F65.89;Other specified paraphilic disorder
F65.9;Unspecified paraphilic disorder
F68.10;Factitious disorder
F70;Intellectual disability (intellectual developmental disorder), Mild
F71;Intellectual disability (intellectual developmental disorder), Moderate
F72;Intellectual disability (intellectual developmental disorder), Severe
F73;Intellectual disability (intellectual developmental disorder), Profound
F79;Unspecified intellectual disability (intellectual developmental disorder)
F80.0;Speech sound disorder
F80.81;Childhood-onset fluency disorder (stuttering)
F80.89;Social (pragmatic) communication disorder
F80.9;Language disorder
F80.9;Unspecified communication disorder
F81.0;Specific learning disorder, With impairment in reading
F81.2;Specific learning disorder, With impairment in mathematics
F81.81;Specific learning disorder, With impairment in written expression
F82;Developmental coordination disorder
F84.0;Autism spectrum disorder
F88;Global developmental delay
F88;Other specified neurodevelopmental disorder
F89;Unspecified neurodevelopmental disorder
F90.0;Attention-deficit/hyperactivity disorder, Predominantly inattentive presentation
F90.1;Attention-deficit/hyperactivity disorder, Predominantly hyperactive/impulsive presentation
F90.2;Attention-deficit/hyperactivity disorder, Combined presentation
F90.8;Other specified attention-deficit/hyperactivity disorder
F90.9;Unspecified attention-deficit/hyperactivity disorder
F91.1;Conduct disorder, Childhood-onset type
F91.2;Conduct disorder, Adolescent-onset type
F91.3;Oppositional defiant disorder
F91.8;Other specified disruptive, impulse-control, and conduct disorder
F91.9;Conduct disorder, Unspecified onset
F91.9;Unspecified disruptive, impulse-control, and conduct disorder
F93.0;Separation anxiety disorder
F94.0;Selective mutism
F94.1;Reactive attachment disorder
F94.2;Disinhibited social engagement disorder
F95.0;Provisional tic disorder
F95.1;Persistent (chronic) motor or vocal tic disorder
F95.2;Tourette's disorder
F95.8;Other specified tic disorder
F95.9;Unspecified tic disorder
F98.0;Enuresis
F98.1;Encopresis
F98.21;Rumination disorder
F98.3;Pica, In children
F98.4;Stereotypic movement disorder
F98.5;Adult-onset fluency disorder
F99;Other specified mental disorder
F99;Unspecified mental disorder
G21.0;Neuroleptic malignant syndrome
G21.11;Neuroleptic-induced parkinsonism
G21.19;Other medication-induced parkinsonism
G24.01;Tardive dyskinesia
G24.02;Medication-induced acute dystonia
G24.09;Tardive dystonia
G25.1;Medication-induced postural tremor
G25.71;Medication-induced acute akathisia
G25.71;Tardive akathisia
G25.79;Other medication-induced movement disorder
G25.81;Restless legs syndrome
G31.84;Mild frontotemporal neurocognitive disorder
G31.84;Mild neurocognitive disorder due to Alzheimer's disease
G31.84;Mild neurocognitive disorder due to another medical condition
G31.84;Mild neurocognitive disorder due to HIV infection
G31.84;Mild neurocognitive disorder due to Huntington's disease
G31.84;Mild neurocognitive disorder due to multiple etiologies
G31.84;Mild neurocognitive disorder due to Parkinson's disease
G31.84;Mild neurocognitive disorder due to prion disease
G31.84;Mild neurocognitive disorder due to traumatic brain injury
G31.84;Mild neurocognitive disorder with Lewy bodies
G31.84;Mild vascular neurocognitive disorder
G31.9;Major frontotemporal neurocognitive disorder, Possible
G31.9;Major neurocognitive disorder due to Parkinson's disease, Possible
G31.9;Major neurocognitive disorder with Lewy bodies, Possible
G31.9;Major vascular neurocognitive disorder, Possible
G47.00;Insomnia disorder
G47.00;Unspecified insomnia disorder
G47.09;Other specified insomnia disorder
G47.10;Hypersomnolence disorder
G47.10;Unspecified hypersomnolence disorder
G47.19;Other specified hypersomnolence disorder
G47.20;Circadian rhythm sleep-wake disorders, Unspecified type
G47.21;Circadian rhythm sleep-wake disorders, Delayed sleep phase type
G47.22;Circadian rhythm sleep-wake disorders, Advanced sleep phase type
G47.23;Circadian rhythm sleep-wake disorders, Irregular sleep-wake type
G47.24;Circadian rhythm sleep-wake disorders, Non-24-hour sleep-wake type
G47.26;Circadian rhythm sleep-wake disorders, Shift work type
G47.31;Idiopathic central sleep apnea
G47.33;Obstructive sleep apnea hypopnea
G47.34;Idiopathic hypoventilation
G47.35;Congenital central alveolar hypoventilation
G47.36;Comorbid sleep-related hypoventilation
G47.37;Central sleep apnea comorbid with opioid use
G47.411;Narcolepsy with cataplexy but without hypocretin deficiency
G47.419;Autosomal dominant cerebellar ataxia, deafness, and narcolepsy
G47.419;Autosomal dominant narcolepsy, obesity, and type 2 diabetes
G47.419;Narcolepsy without cataplexy but with hypocretin deficiency
G47.429;Narcolepsy secondary to another medical condition
G47.52;Rapid eye movement sleep behavior disorder
G47.8;Other specified sleep-wake disorder
G47.9;Unspecified sleep-wake disorder
L98.1;Excoriation (skin-picking) disorder
N39.498;Other specified elimination disorder, With urinary symptoms
N94.3;Premenstrual dysphoric disorder
R06.3;Cheyne-Stokes breathing
R15.9;Other specified elimination disorder, With fecal symptoms
R15.9;Unspecified elimination disorder, With fecal symptoms
R32;Unspecified elimination disorder, With urinary symptoms
R41.0;Other specified delirium
R41.0;Unspecified delirium
R41.83;Borderline intellectual functioning
R41.9;Unspecified neurocognitive disorder
T43.205A;Antidepressant discontinuation syndrome, Initial encounter
T43.205D;Antidepressant discontinuation syndrome, Subsequent encounter
T43.205S;Antidepressant discontinuation syndrome, Sequelae
T50.905A;Other adverse effect of medication, Initial encounter
T50.905D;Other adverse effect of medication, Subsequent encounter
T50.905S;Other adverse effect of medication, Sequelae
T74.01XA;Spouse or partner neglect, Confirmed, Initial encounter
T74.01XD;Spouse or partner neglect, Confirmed, Subsequent encounter
T74.02XA;Child neglect, Confirmed, Initial encounter
T74.02XD;Child neglect, Confirmed, Subsequent encounter
T74.11XA;Adult physical abuse by nonspouse or nonpartner, Confirmed, Initial encounter
T74.11XA;Spouse or partner violence, Physical, Confirmed, Initial encounter
T74.11XD;Adult physical abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter
T74.11XD;Spouse or partner violence, Physical, Confirmed, Subsequent encounter
T74.12XA;Child physical abuse, Confirmed, Initial encounter
T74.12XD;Child physical abuse, Confirmed, Subsequent encounter
T74.21XA;Adult sexual abuse by nonspouse or nonpartner, Confirmed, Initial encounter
T74.21XA;Spouse or partner Violence, Sexual, Confirmed, Initial encounter
T74.21XD;Adult sexual abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter
T74.21XD;Spouse or partner Violence, Sexual, Confirmed, Subsequent encounter
T74.22XA;Child sexual abuse, Confirmed, Initial encounter
T74.22XD;Child sexual abuse, Confirmed, Subsequent encounter
T74.31XA;Adult psychological abuse by nonspouse or nonpartner, Confirmed, Initial encounter
T74.31XA;Spouse or partner abuse, Psychological, Confirmed, Initial encounter
T74.31XD;Adult psychological abuse by nonspouse or nonpartner, Confirmed, Subsequent encounter
T74.31XD;Spouse or partner abuse, Psychological, Confirmed, Subsequent encounter
T74.32XA;Child psychological abuse, Confirmed, Initial encounter
T74.32XD;Child psychological abuse, Confirmed, Subsequent encounter
T76.01XA;Spouse or partner neglect, Suspected, Initial encounter
T76.01XD;Spouse or partner neglect, Suspected, Subsequent encounter
T76.02XA;Child neglect, Suspected, Initial encounter
T76.02XD;Child neglect, Suspected, Subsequent encounter
T76.11XA;Adult physical abuse by nonspouse or nonpartner, Suspected, Initial encounter
T76.11XA;Spouse or partner Violence, Physical, Suspected, Initial encounter
T76.11XD;Adult physical abuse by nonspouse or nonpartner, Suspected, Subsequent encounter
T76.11XD;Spouse or partner Violence, Physical, Suspected, Subsequent encounter
T76.12XA;Child physical abuse, Suspected, Initial encounter
T76.12XD;Child physical abuse, Suspected, Subsequent encounter
T76.21XA;Adult sexual abuse by nonspouse or nonpartner, Suspected, Initial encounter
T76.21XA;Spouse or partner Violence, Sexual, Suspected, Initial encounter
T76.21XD;Adult sexual abuse by nonspouse or nonpartner, Suspected, Subsequent encounter
T76.21XD;Spouse or partner Violence, Sexual, Suspected, Subsequent encounter
T76.22XA;Child sexual abuse, Suspected, Initial encounter
T76.22XD;Child sexual abuse, Suspected, Subsequent encounter
T76.31XA;Adult psychological abuse by nonspouse or nonpartner, Suspected, Initial encounter
T76.31XA;Spouse or partner abuse, Psychological, Suspected, Initial encounter
T76.31XD;Adult psychological abuse by nonspouse or nonpartner, Suspected, Subsequent encounter
T76.31XD;Spouse or partner abuse, Psychological, Suspected, Subsequent encounter
T76.32XA;Child psychological abuse, Suspected, Initial encounter
T76.32XD;Child psychological abuse, Suspected, Subsequent encounter
Z03.89;No Diagnosis or Condition on Axis I / No Diagnosis on Axis II [DSM-IV]
Z55.9;Academic or educational problem
Z56.82;Problem related to current military deployment status
Z56.9;Other problem related to employment
Z59.0;Homelessness
Z59.1;Inadequate housing
Z59.2;Discord with neighbor, lodger, or landlord
Z59.3;Problem related to living in a residential institution
Z59.4;Lack of adequate food or safe drinking water
Z59.5;Extreme poverty
Z59.6;Low income
Z59.7;Insufficient social insurance or welfare support
Z59.9;Unspecified housing or economic problem
Z60.0;Phase of life problem
Z60.2;Problem related to living alone
Z60.3;Acculturation difficulty
Z60.4;Social exclusion or rejection
Z60.5;Target of (perceived) adverse discrimination or persecution
Z60.9;Unspecified problem related to social environment
Z62.29;Upbringing away from parents
Z62.810;Personal history (past history) of physical abuse in childhood
Z62.810;Personal history (past history) of sexual abuse in childhood
Z62.811;Personal history (past history) of psychological abuse in childhood
Z62.812;Personal history (past history) of neglect in childhood
Z62.820;Parent-child relational problem
Z62.891;Sibling relational problem
Z62.898;Child affected by parental relationship distress
Z63.0;Relationship distress with spouse or intimate partner
Z63.4;Uncomplicated bereavement
Z63.5;Disruption of family by separation or divorce
Z63.8;High expressed emotion level within family
Z64.0;Problems related to unwanted pregnancy
Z64.1;Problems related to multiparity
Z64.4;Discord with social service provider, including probation officer, case manager, or social services worker
Z65.0;Conviction in civil or criminal proceedings without imprisonment
Z65.1;Imprisonment or other incarceration
Z65.2;Problems related to release from prison
Z65.3;Problems related to other legal circumstances
Z65.4;Victim of crime
Z65.4;Victim of terrorism or torture
Z65.5;Exposure to disaster, war, or other hostilities
Z65.8;Other problem related to psychosocial circumstances
Z65.8;Religious or spiritual problem
Z65.9;Unspecified problem related to unspecified psychosocial circumstances
Z69.010;Other circumstances related to child neglect, Encounter for mental health services for victim of child neglect by parent
Z69.010;Other circumstances related to child physical abuse, Encounter for mental health services for victim of child abuse by parent
Z69.010;Other circumstances related to child psychological abuse, Encounter for mental health services for victim of child psychological abuse by parent
Z69.010;Other circumstances related to child sexual abuse, Encounter for mental health services for victim of child sexual abuse by parent
Z69.011;Other circumstances related to child neglect, Encounter for mental health services for perpetrator of parental child neglect
Z69.011;Other circumstances related to child physical abuse, Encounter for mental health services for perpetrator of parental child abuse
Z69.011;Other circumstances related to child psychological abuse, Encounter for mental health services for perpetrator of parental child psychological abuse
Z69.011;Other circumstances related to child sexual abuse, Encounter for mental health services for perpetrator of parental child sexual abuse
Z69.020;Other circumstances related to child neglect, Encounter for mental health services for victim of nonparental child neglect
Z69.020;Other circumstances related to child physical abuse, Encounter for mental health services for victim of nonparental child abuse
Z69.020;Other circumstances related to child psychological abuse, Encounter for mental health services for victim of nonparental child psychological abuse
Z69.020;Other circumstances related to child sexual abuse, Encounter for mental health services for victim of nonparental child sexual abuse
Z69.021;Other circumstances related to child neglect, Encounter for mental health services for perpetrator of nonparental child neglect
Z69.021;Other circumstances related to child physical abuse, Encounter for mental health services for perpetrator of nonparental child abuse
Z69.021;Other circumstances related to child psychological abuse, Encounter for mental health services for perpetrator of nonparental child psychological abuse
Z69.021;Other circumstances related to child sexual abuse, Encounter for mental health services for perpetrator of nonparental child sexual abuse
Z69.11;Other circumstances related to spouse or partner abuse, Psychological, Encounter for mental health services for victim of spouse or partner psychological abuse
Z69.11;Other circumstances related to spouse or partner neglect, Encounter for mental health services for victim of spouse or partner neglect
Z69.11;Other circumstances related to spouse or partner violence, Physical, Encounter for mental health services for victim of spouse or partner violence
Z69.12;Other circumstances related to spouse or partner abuse, Psychological, Encounter for mental health services for perpetrator of spouse or partner psychological abuse
Z69.12;Other circumstances related to spouse or partner neglect, Encounter for mental health services for perpetrator of spouse or partner neglect
Z69.12;Other circumstances related to spouse or partner violence, Physical, Encounter for mental health services for perpetrator of spouse or partner violence
Z69.12;Other circumstances related to spouse or partner violence, Sexual, Encounter for mental health services for perpetrator of spouse or partner violence
Z69.81;Other circumstances related to adult abuse by nonspouse or nonpartner, Encounter for mental health services for victim of nonspousal adult abuse
Z69.81;Other circumstances related to spouse or partner violence, Sexual, Encounter for mental health services for victim of spouse or partner violence
Z69.82;Other circumstances related to adult abuse by nonspouse or nonpartner, Encounter for mental health services for perpetrator of nonspousal adult abuse
Z70.9;Sex counseling
Z71.9;Other counseling or consultation
Z72.0;Tobacco use disorder, Mild
Z72.810;Child or adolescent antisocial behavior
Z72.811;Adult antisocial behavior
Z72.9;Problem related to lifestyle
Z75.3;Unavailability or inaccessibility of health care facilities
Z75.4;Unavailability or inaccessibility of other helping agencies
Z76.5;Malingering
Z91.19;Nonadherence to medical treatment
Z91.410;Personal history (past history) of spouse or partner violence, Physical
Z91.410;Personal history (past history) of spouse or partner violence, Sexual
Z91.411;Personal history (past history) of spouse or partner psychological abuse
Z91.412;Personal history (past history) of spouse or partner neglect
Z91.49;Other personal history of psychological trauma
Z91.5;Personal history of self-harm
Z91.82;Personal history of military deployment
Z91.83;Wandering associated with a mental disorder
Z91.89;Other personal risk factors